seed,cope,target,subject,phase,conn
mOFC,acq_ext,dACC,8,memory_run-03,205.625
mOFC,acq_ext,dACC,9,memory_run-01,-72.27763
mOFC,acq_ext,dACC,9,memory_run-02,108.51261000000001
mOFC,acq_ext,dACC,9,memory_run-03,-34.663253999999995
mOFC,acq_ext,dACC,10,memory_run-01,-76.26626
mOFC,acq_ext,dACC,10,memory_run-02,-71.80349
mOFC,acq_ext,dACC,10,memory_run-03,48.830894
mOFC,acq_ext,dACC,12,memory_run-01,-13.63955
mOFC,acq_ext,dACC,12,memory_run-02,119.15222
mOFC,acq_ext,dACC,12,memory_run-03,58.620953
mOFC,acq_ext,dACC,13,memory_run-01,-24.354208
mOFC,acq_ext,dACC,13,memory_run-02,133.49365
mOFC,acq_ext,dACC,13,memory_run-03,5.1500645
mOFC,acq_ext,dACC,14,memory_run-01,107.56363999999999
mOFC,acq_ext,dACC,14,memory_run-02,-47.20884
mOFC,acq_ext,dACC,14,memory_run-03,-19.143612
mOFC,acq_ext,dACC,15,memory_run-01,80.700615
mOFC,acq_ext,dACC,15,memory_run-02,-9.780185000000001
mOFC,acq_ext,dACC,15,memory_run-03,84.10329399999999
mOFC,acq_ext,dACC,16,memory_run-01,61.643494
mOFC,acq_ext,dACC,16,memory_run-02,-31.854840000000003
mOFC,acq_ext,dACC,16,memory_run-03,33.424732
mOFC,acq_ext,dACC,17,memory_run-01,-60.057163
mOFC,acq_ext,dACC,17,memory_run-02,67.7252
mOFC,acq_ext,dACC,17,memory_run-03,-64.775406
mOFC,acq_ext,dACC,18,memory_run-01,197.1317
mOFC,acq_ext,dACC,18,memory_run-02,99.48031999999999
mOFC,acq_ext,dACC,18,memory_run-03,-58.346793999999996
mOFC,acq_ext,dACC,19,memory_run-01,107.364006
mOFC,acq_ext,dACC,19,memory_run-02,-141.2691
mOFC,acq_ext,dACC,19,memory_run-03,51.9455
mOFC,acq_ext,dACC,20,memory_run-01,112.24423
mOFC,acq_ext,dACC,20,memory_run-02,82.69932
mOFC,acq_ext,dACC,20,memory_run-03,49.703896
mOFC,acq_ext,dACC,21,memory_run-01,-198.85199
mOFC,acq_ext,dACC,21,memory_run-02,54.683525
mOFC,acq_ext,dACC,21,memory_run-03,-74.31881
mOFC,acq_ext,dACC,23,memory_run-01,148.83241
mOFC,acq_ext,dACC,23,memory_run-02,37.98981
mOFC,acq_ext,dACC,23,memory_run-03,-78.32982
mOFC,acq_ext,dACC,24,memory_run-01,166.26004
mOFC,acq_ext,dACC,24,memory_run-02,-63.57369
mOFC,acq_ext,dACC,24,memory_run-03,-58.680659999999996
mOFC,acq_ext,dACC,25,memory_run-01,66.4428
mOFC,acq_ext,dACC,25,memory_run-02,-15.412526000000002
mOFC,acq_ext,dACC,25,memory_run-03,26.026659
mOFC,acq_ext,dACC,26,memory_run-01,10.379913
mOFC,acq_ext,dACC,26,memory_run-02,-19.241034
mOFC,acq_ext,dACC,26,memory_run-03,90.22316
mOFC,acq_ext,dACC,101,memory_run-01,-184.74754
mOFC,acq_ext,dACC,101,memory_run-02,8.147967999999999
mOFC,acq_ext,dACC,101,memory_run-03,62.854298
mOFC,acq_ext,dACC,102,memory_run-01,121.55963
mOFC,acq_ext,dACC,102,memory_run-02,-105.8568
mOFC,acq_ext,dACC,102,memory_run-03,263.5577
mOFC,acq_ext,dACC,103,memory_run-01,114.6711
mOFC,acq_ext,dACC,103,memory_run-02,12.028008
mOFC,acq_ext,dACC,103,memory_run-03,-352.1154
mOFC,acq_ext,dACC,104,memory_run-01,50.751545
mOFC,acq_ext,dACC,104,memory_run-02,-5.962321
mOFC,acq_ext,dACC,104,memory_run-03,-72.32326
mOFC,acq_ext,dACC,105,memory_run-01,-4.888672
mOFC,acq_ext,dACC,105,memory_run-02,6.4883137
mOFC,acq_ext,dACC,105,memory_run-03,-150.91378999999998
mOFC,acq_ext,dACC,106,memory_run-01,11.372277
mOFC,acq_ext,dACC,106,memory_run-02,-62.796284
mOFC,acq_ext,dACC,106,memory_run-03,-75.88985
mOFC,acq_ext,dACC,107,memory_run-01,-58.638268000000004
mOFC,acq_ext,dACC,107,memory_run-02,-64.32307
mOFC,acq_ext,dACC,107,memory_run-03,5.7384377
mOFC,acq_ext,dACC,108,memory_run-01,52.43125500000001
mOFC,acq_ext,dACC,108,memory_run-02,-23.399529
mOFC,acq_ext,dACC,108,memory_run-03,-99.21135
mOFC,acq_ext,dACC,109,memory_run-01,6.133734
mOFC,acq_ext,dACC,109,memory_run-02,21.201931
mOFC,acq_ext,dACC,109,memory_run-03,25.734243
mOFC,acq_ext,dACC,110,memory_run-01,-29.828484999999997
mOFC,acq_ext,dACC,110,memory_run-02,-25.856531
mOFC,acq_ext,dACC,110,memory_run-03,29.830591
mOFC,acq_ext,dACC,111,memory_run-01,-69.775345
mOFC,acq_ext,dACC,111,memory_run-02,183.64548
mOFC,acq_ext,dACC,111,memory_run-03,-402.17685
mOFC,acq_ext,dACC,112,memory_run-01,-2.4641962000000004
mOFC,acq_ext,dACC,112,memory_run-02,-24.967014000000002
mOFC,acq_ext,dACC,112,memory_run-03,-71.86243
mOFC,acq_ext,dACC,113,memory_run-01,182.81586000000001
mOFC,acq_ext,dACC,113,memory_run-02,344.76068
mOFC,acq_ext,dACC,113,memory_run-03,-111.86228
mOFC,acq_ext,dACC,114,memory_run-01,20.326520000000002
mOFC,acq_ext,dACC,114,memory_run-02,75.601425
mOFC,acq_ext,dACC,114,memory_run-03,-16.464481
mOFC,acq_ext,dACC,115,memory_run-01,42.818123
mOFC,acq_ext,dACC,115,memory_run-02,-54.711185
mOFC,acq_ext,dACC,115,memory_run-03,86.96505
mOFC,acq_ext,dACC,116,memory_run-01,-22.068253
mOFC,acq_ext,dACC,116,memory_run-02,121.81038000000001
mOFC,acq_ext,dACC,116,memory_run-03,22.761368
mOFC,acq_ext,dACC,117,memory_run-01,25.930414000000003
mOFC,acq_ext,dACC,117,memory_run-02,-136.19733
mOFC,acq_ext,dACC,117,memory_run-03,24.730210999999997
mOFC,acq_ext,dACC,118,memory_run-01,-44.70797
mOFC,acq_ext,dACC,118,memory_run-02,51.085663000000004
mOFC,acq_ext,dACC,118,memory_run-03,77.574425
mOFC,acq_ext,dACC,120,memory_run-01,259.97086
mOFC,acq_ext,dACC,120,memory_run-02,-93.64643000000001
mOFC,acq_ext,dACC,120,memory_run-03,6.650322999999999
mOFC,acq_ext,dACC,121,memory_run-01,58.35614
mOFC,acq_ext,dACC,121,memory_run-02,7.7870364
mOFC,acq_ext,dACC,121,memory_run-03,66.32982
mOFC,acq_ext,dACC,122,memory_run-01,2.8752697
mOFC,acq_ext,dACC,122,memory_run-02,17.247316
mOFC,acq_ext,dACC,122,memory_run-03,-6.307668
mOFC,acq_ext,dACC,123,memory_run-01,32.036568
mOFC,acq_ext,dACC,123,memory_run-02,-115.91495
mOFC,acq_ext,dACC,123,memory_run-03,-161.50891000000001
mOFC,acq_ext,dACC,124,memory_run-01,-5.2016
mOFC,acq_ext,dACC,124,memory_run-02,463.10004000000004
mOFC,acq_ext,dACC,124,memory_run-03,-71.05305
mOFC,acq_ext,dACC,125,memory_run-01,-110.98118000000001
mOFC,acq_ext,dACC,125,memory_run-02,248.50997999999998
mOFC,acq_ext,dACC,125,memory_run-03,111.43207
mOFC,acq_ext,lh_hpc,1,memory_run-01,-31.360569
mOFC,acq_ext,lh_hpc,1,memory_run-02,30.771046000000002
mOFC,acq_ext,lh_hpc,1,memory_run-03,5.712909
mOFC,acq_ext,lh_hpc,2,memory_run-01,-4.0462812999999995
mOFC,acq_ext,lh_hpc,2,memory_run-02,-83.35951
mOFC,acq_ext,lh_hpc,2,memory_run-03,96.11124000000001
mOFC,acq_ext,lh_hpc,3,memory_run-01,-78.247856
mOFC,acq_ext,lh_hpc,3,memory_run-02,-327.74304
mOFC,acq_ext,lh_hpc,3,memory_run-03,-15.730127
mOFC,acq_ext,lh_hpc,4,memory_run-01,1.6344128999999998
mOFC,acq_ext,lh_hpc,4,memory_run-02,2.4925013
mOFC,acq_ext,lh_hpc,4,memory_run-03,9.535109
mOFC,acq_ext,lh_hpc,5,memory_run-01,-16.085865
mOFC,acq_ext,lh_hpc,5,memory_run-02,-72.14012
mOFC,acq_ext,lh_hpc,5,memory_run-03,-35.281082
mOFC,acq_ext,lh_hpc,6,memory_run-01,48.922717999999996
mOFC,acq_ext,lh_hpc,6,memory_run-02,-164.81505
mOFC,acq_ext,lh_hpc,6,memory_run-03,-255.89983999999998
mOFC,acq_ext,lh_hpc,7,memory_run-01,31.881958
mOFC,acq_ext,lh_hpc,7,memory_run-02,101.65893
mOFC,acq_ext,lh_hpc,7,memory_run-03,3.3637528
mOFC,acq_ext,lh_hpc,8,memory_run-01,2.4365978
mOFC,acq_ext,lh_hpc,8,memory_run-02,4.933904
mOFC,acq_ext,lh_hpc,8,memory_run-03,25.485336
mOFC,acq_ext,lh_hpc,9,memory_run-01,1.718184
mOFC,acq_ext,lh_hpc,9,memory_run-02,16.54759
mOFC,acq_ext,lh_hpc,9,memory_run-03,-62.540206999999995
mOFC,acq_ext,lh_hpc,10,memory_run-01,-15.5510845
mOFC,acq_ext,lh_hpc,10,memory_run-02,-67.26059000000001
mOFC,acq_ext,lh_hpc,10,memory_run-03,-16.758204
mOFC,acq_ext,lh_hpc,12,memory_run-01,-6.5173745
mOFC,acq_ext,lh_hpc,12,memory_run-02,7.9644710000000005
mOFC,acq_ext,lh_hpc,12,memory_run-03,32.606884
mOFC,acq_ext,lh_hpc,13,memory_run-01,4.509232
mOFC,acq_ext,lh_hpc,13,memory_run-02,43.437003999999995
mOFC,acq_ext,lh_hpc,13,memory_run-03,-10.182822
mOFC,acq_ext,lh_hpc,14,memory_run-01,8.685981
mOFC,acq_ext,lh_hpc,14,memory_run-02,45.334965000000004
mOFC,acq_ext,lh_hpc,14,memory_run-03,36.368866
mOFC,acq_ext,lh_hpc,15,memory_run-01,-31.870659999999997
mOFC,acq_ext,lh_hpc,15,memory_run-02,-47.69336
mOFC,acq_ext,lh_hpc,15,memory_run-03,-5.5742154
mOFC,acq_ext,lh_hpc,16,memory_run-01,-15.850098000000001
mOFC,acq_ext,lh_hpc,16,memory_run-02,-9.763885
mOFC,acq_ext,lh_hpc,16,memory_run-03,3.7193468000000003
mOFC,acq_ext,lh_hpc,17,memory_run-01,-50.56922
mOFC,acq_ext,lh_hpc,17,memory_run-02,31.014927
mOFC,acq_ext,lh_hpc,17,memory_run-03,-22.549288
mOFC,acq_ext,lh_hpc,18,memory_run-01,-29.040772999999998
mOFC,acq_ext,lh_hpc,18,memory_run-02,68.04159
mOFC,acq_ext,lh_hpc,18,memory_run-03,-56.76974499999999
mOFC,acq_ext,lh_hpc,19,memory_run-01,-30.313422999999997
mOFC,acq_ext,lh_hpc,19,memory_run-02,-6.1383777
mOFC,acq_ext,lh_hpc,19,memory_run-03,76.49903
mOFC,acq_ext,lh_hpc,20,memory_run-01,8.365817
mOFC,acq_ext,lh_hpc,20,memory_run-02,11.365013000000001
mOFC,acq_ext,lh_hpc,20,memory_run-03,45.565144000000004
mOFC,acq_ext,lh_hpc,21,memory_run-01,-66.94646999999999
mOFC,acq_ext,lh_hpc,21,memory_run-02,7.5179057
mOFC,acq_ext,lh_hpc,21,memory_run-03,-7.562703599999999
mOFC,acq_ext,lh_hpc,23,memory_run-01,-17.253859
mOFC,acq_ext,lh_hpc,23,memory_run-02,-63.169033
mOFC,acq_ext,lh_hpc,23,memory_run-03,-59.90235
mOFC,acq_ext,lh_hpc,24,memory_run-01,62.930580000000006
mOFC,acq_ext,lh_hpc,24,memory_run-02,-51.915465999999995
mOFC,acq_ext,lh_hpc,24,memory_run-03,-63.343914
mOFC,acq_ext,lh_hpc,25,memory_run-01,24.749537
mOFC,acq_ext,lh_hpc,25,memory_run-02,-37.67232
mOFC,acq_ext,lh_hpc,25,memory_run-03,84.30443000000001
mOFC,acq_ext,lh_hpc,26,memory_run-01,0.19922614
mOFC,acq_ext,lh_hpc,26,memory_run-02,-62.87876
mOFC,acq_ext,lh_hpc,26,memory_run-03,-71.42135
mOFC,acq_ext,lh_hpc,101,memory_run-01,19.559631
mOFC,acq_ext,lh_hpc,101,memory_run-02,-3.2858136
mOFC,acq_ext,lh_hpc,101,memory_run-03,-3.9180449999999998
mOFC,acq_ext,lh_hpc,102,memory_run-01,-85.12735
mOFC,acq_ext,lh_hpc,102,memory_run-02,-11.722371
mOFC,acq_ext,lh_hpc,102,memory_run-03,11.68047
mOFC,acq_ext,lh_hpc,103,memory_run-01,133.69206
mOFC,acq_ext,lh_hpc,103,memory_run-02,24.350956
mOFC,acq_ext,lh_hpc,103,memory_run-03,-85.12749000000001
mOFC,acq_ext,lh_hpc,104,memory_run-01,-1.4473806999999999
mOFC,acq_ext,lh_hpc,104,memory_run-02,-12.672508
mOFC,acq_ext,lh_hpc,104,memory_run-03,28.246230999999998
mOFC,acq_ext,lh_hpc,105,memory_run-01,30.41035
mOFC,acq_ext,lh_hpc,105,memory_run-02,21.773098
mOFC,acq_ext,lh_hpc,105,memory_run-03,16.806084
mOFC,acq_ext,lh_hpc,106,memory_run-01,-98.0962
mOFC,acq_ext,lh_hpc,106,memory_run-02,-9.19313
mOFC,acq_ext,lh_hpc,106,memory_run-03,5.9016867
mOFC,acq_ext,lh_hpc,107,memory_run-01,-20.719578
mOFC,acq_ext,lh_hpc,107,memory_run-02,-92.22416
mOFC,acq_ext,lh_hpc,107,memory_run-03,-18.909653
mOFC,acq_ext,lh_hpc,108,memory_run-01,38.26132
mOFC,acq_ext,lh_hpc,108,memory_run-02,39.831158
mOFC,acq_ext,lh_hpc,108,memory_run-03,-43.981613
mOFC,acq_ext,lh_hpc,109,memory_run-01,-74.01011
mOFC,acq_ext,lh_hpc,109,memory_run-02,127.16383
mOFC,acq_ext,lh_hpc,109,memory_run-03,14.970032000000002
mOFC,acq_ext,lh_hpc,110,memory_run-01,-31.057572999999998
mOFC,acq_ext,lh_hpc,110,memory_run-02,20.365267000000003
mOFC,acq_ext,lh_hpc,110,memory_run-03,-35.371140000000004
mOFC,acq_ext,lh_hpc,111,memory_run-01,35.726616
mOFC,acq_ext,lh_hpc,111,memory_run-02,160.5602
mOFC,acq_ext,lh_hpc,111,memory_run-03,-300.9065
mOFC,acq_ext,lh_hpc,112,memory_run-01,14.398538
mOFC,acq_ext,lh_hpc,112,memory_run-02,-41.164190000000005
mOFC,acq_ext,lh_hpc,112,memory_run-03,9.516977
mOFC,acq_ext,lh_hpc,113,memory_run-01,6.7349524
mOFC,acq_ext,lh_hpc,113,memory_run-02,-54.498183999999995
mOFC,acq_ext,lh_hpc,113,memory_run-03,8.202949
mOFC,acq_ext,lh_hpc,114,memory_run-01,-29.95857
mOFC,acq_ext,lh_hpc,114,memory_run-02,30.76942
mOFC,acq_ext,lh_hpc,114,memory_run-03,38.224907
mOFC,acq_ext,lh_hpc,115,memory_run-01,30.761447999999998
mOFC,acq_ext,lh_hpc,115,memory_run-02,43.231495
mOFC,acq_ext,lh_hpc,115,memory_run-03,-0.39929770000000003
mOFC,acq_ext,lh_hpc,116,memory_run-01,-16.872463
mOFC,acq_ext,lh_hpc,116,memory_run-02,28.697289
mOFC,acq_ext,lh_hpc,116,memory_run-03,-3.4696547999999994
mOFC,acq_ext,lh_hpc,117,memory_run-01,43.162259999999996
mOFC,acq_ext,lh_hpc,117,memory_run-02,74.195175
mOFC,acq_ext,lh_hpc,117,memory_run-03,-10.882502
mOFC,acq_ext,lh_hpc,118,memory_run-01,-63.866776
mOFC,acq_ext,lh_hpc,118,memory_run-02,3.208876
mOFC,acq_ext,lh_hpc,118,memory_run-03,59.652545999999994
